[2026-01-20 11:35:22] ERROR    | MangaBuff.google_sheets > ❌ Столбец со ссылками не найден в таблице баланса
[2026-01-20 11:40:48] ERROR    | MangaBuff.google_sheets > Ошибка загрузки Google Sheets: SOCKSHTTPSConnectionPool(host='docs.google.com', port=443): Max retries exceeded with url: /spreadsheets/d/1sYvrBU9BPhcoxTnNJfx8TOutxwFrSiRm2mw_8s6rdZM/gviz/tq?tqx=out:csv&gid=846561775 (Caused by NewConnectionError("SOCKSHTTPSConnection(host='docs.google.com', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:48] ERROR    | MangaBuff.telegram_unified > Ошибка ответа на callback: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/answerCallbackQuery (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:49] ERROR    | MangaBuff.telegram_unified > Ошибка отправки сообщения: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/sendMessage (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:49] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:49] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:49] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:49] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:49] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:50] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:50] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:50] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:50] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:50] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:51] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:51] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:52] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:52] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:52] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:52] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:53] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
[2026-01-20 11:40:53] ERROR    | MangaBuff.telegram_unified > Ошибка getUpdates: SOCKSHTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8562662254:AAFqMiPjX4RU-aeA0IPW2OU4HIn1h4NEPIU/getUpdates?offset=174918059&timeout=30&allowed_updates=message&allowed_updates=callback_query (Caused by NewConnectionError("SOCKSHTTPSConnection(host='api.telegram.org', port=443): Failed to establish a new connection: SOCKS5 authentication failed"))
